english,punjabi
geetu,gIqU
geya,igAw
ghai,GeI
ghar,Gr
ghataur,GtOr
ghoda,GoVw
ghuman,Gumn
giani,igAwnI
giaspura,igAwspur
gill,ig`l
gillco,iglko
giridhar,igrID`r
gitanjali,gIqWjlI
gobind,goibMd
gobindgarh,goibMdgVH
goel,goiel
goindwal,goieMdvwl
golyan,golXwn
gopal,gopal
gopi,gopI
gora,gorw
goraiya,gorwieAw
goraya,goirAw
goria,goirAw
gosal,gosl
govind,goivMd
goyal,goXl
grewal,gryvwl
gujran,gurjn
gulab,ugulwb
guleria,gulyirAw
gulshan,gulSn
gunjan,gunjn
gunopur,gunopur
gurbachan,gurbcn
gurcharan,gurcrn
gurdas,gurdws
gurdas,gurdws
gurdial,gurdIAwl
gurditya,gurdiqAw
gurmeet,gurmIq
gurnek,gurnyk
gurpreet,gurpRIq
gurshan,gurSn
gurtej,gurqyj
gyaran,igAwrW
h,AYc
habib,hbIb
hall,h`l
haneri,hnyrI
hanuman,hnumwn
hardayal,hrdIAwl
hardeep,hrdIp
harinder,hirMdr
harkiran,hrikrn
harleen,hrlIn
harmanjot,hrmnjoq
harmanpreet,hrmnpRIq
harmeet,hrmIq
harnek,hrnyk
harni,hwrnI
harpal,hrpwl
harpreet,hrpRIq
harsha,hrSw
harshdeep,hrSdIp
harshil,hriSl
harshit,hriSq
harshita,hriSqw
harshleen,hrSlIn
harveer,hrvIr
harvinder,hrivMdr
hasrat,hsrq
hass,h`s
hassna,h`sxw
hemant,hymMq
hemraj,hymrwj
henna,hynw
himachal,ihmwcl
himanshu,ihmWSU
hirday,ihrdX
hitean,ihqyn
hoeya,hoieAw
hrishikesh,iriSkyS
hussan,husn
i,AweI
ikjot,ie`kjoq
ikk,ie`k
ikkahatar,ie`khqr
ikkahath,ie`kwhT
ikkanve,ie`knvy
ikkasi,ie`kAwsI
ikkati,iek`qI
ikki,ie`kI
ikpreet,ie`kpRIq
inayat,ienwXq
inderpreet,ieMdrpRIq
inderveer,ieMdrvIr
indira,ieMidrw
indrajit,ieMdRwjIq
indumati,ieMdumqI
iqbal,ie`kbwl
ishaan,ieSwn
ishita,ieiSqw
ishpreet,ieSpRIq
j,jy
jaati,jwqI
jafarpur,jPrpur
jafarwal,jwPrvwl
jagowal,jwgovwl
jahanara,jhwnwrw
jai,jY
jaideep,jYdIp
jaikaran,jYkrn
jaipal,jYpwl
janak,jnk
jani,jwxI
jankari,jwxkwrI
january,jnvrI
japuwal,jwpuvwl
jasbir,jsbIr
jasdeep,jsdIp
jashan,jSn
jasmeet,jsmIq
jaspal,jspwl
jaspreet,jspRIq
jasvinder,jsivMdr
jatinder,jiqMdr
jattan,j`tW
jawahar,jvwhr
jeevan,jIvn
jehda,ijhVw
jhall,J`l
jhanda,JMfw
jhatt,J`t
jian,jIAW
jigyasa,ijgXwsw
jitt,ij`q
jittu,ij`qU
jiwan,jIvn
joa,joA
jogi,jogI
jogi,jogI
joginder,joigMdr
jogowal,jogovwl
jograj,jogrwj
jora,jorw
july,julweI
june,jUn
jyoti,jXoqI
k,ky
kabir,kbIr
kahani,khwxI
kahnuvan,kwhnMUvwn
kaint,kYNt
kakkar,k`kV
kala,klw
kalan,klW
kallu,k`lU
kalyan,kilAwn
kalyanpura,kilAwxpurw
kamal,kml
kanya,kMinAw
kar,kr
karamjit,krmjIq
karan,krn
karandeep,krndIp
karanvir,krnvIr
karaunda,krwauNdw
karnail,krnYl
karo,kro
kartik,kwriqk
kash,kwS
kattna,k`txw
kaur,kOr
keshav,kySv
khabba,K`bw
khadir,Kwidr
khan,Kwn
khatta,K`tw
kheti,KyqI
khunda,KuMfw
khundi,KuMfI
khurd,Kuurd
khushdeep,KuSdIp
khushpreet,KuSpRIq
kirandeep,ikrndIp
kiranpreet,ikrnpRIq
kirti,kIrqI
kishanpur,ikSnpur
kitiyan,kIqIAW
koi,koeI
koole,kUly
kot,kot
kotli,kotlI
krishna,ikRSnw
krishna,ikRSnw
kulbir,kulbIr
kuldeep,kuldIp
kulfi,kulPI
kulveer,kulvIr
kumar,kumwr
kundan,kuMdn
l,AYl
ladhoopur,lwDupur
laggna,l`gxw
lakhbir,lKbIr
lakhwinder,lKivMdr
lakkar,l`kV
lal,lwl
latika,liqkw
latt,l`q
laveena,lvINnw
lavish,livS
leena,lInw
lehal,lyhl
lekhak,lyKk
leteya,lyitAw
lila,lIlw
lokesh,lokyS
ludhiana,luiDAwnw
m,AYm
madhavi,mwDvI
madhur,mDur
mahadev,mhwdyv
mahaul,mwhOl
mahinder,mihMdr
mahipal,mhIpwl
makki,m`kI
malak,mlk
malian,milAW
mallni,m`lxI
manavpreet,mwnvpRIq
mandeep,mndIp
maneet,mnIq
mangalvar,mMglvwr
manish,mnIS
manj,mMj
manjeet,mnjIq
manjiya,mMjIAW
manmeet,mnmIq
manpreet,mnpRIq
mansimran,mnismrn
manveer,mnvIr
march,mwrc
matti,m`qI
may,meI
meetpal,mIqpwl
mehar,myhr
mehardeep,myrhrdIp
mehul,myhul
member,mYNbr
minakshi,imnwkSI
modha,moFw
moga,mogw
mohan,mohn
mohinder,moihMdr
mohit,moihq
moosa,mU`sw
morinda,moirMfw
mudda,mu`dw
muhlat,muhlq
mukesh,mukyS
mukka,m`ukw
mukti,mukqI
mulazam,mulwzm
munan,munn
munda,muMfw
munde,muMfy
n,AYn
nabbe,n`by
nachhatar,nC`qr
nadinve,niV`nvy
nagar,ngr
nahar,nwhr
nainokot,nYnokot
nal,nwl
namrata,nmRqw
nanak,nwnk
nangal,nMgl
nangal,nMgl
nanke,nwnky
naresh,nryS
narinder,nirMdr
narottam,nro~qm
nau,nO
navkiran,nvikrn
navneet,nvnIq
nazran,nzrW
neelam,nIlm
neeru,nIrU
neetika,iniqkw
neha,nyhw
nimane,inmwxy
nirmal,inrml
nisha,inSw
nitin,iniqn
nitish,iniqS
november,nvMbr
nu,nMU
nuktipur,nukqIpur
o,E
october,AkqUbr
p,pI
pachanve,pc`nvy
pachasi,pcwsI
pachatar,pc`qr
pachi,p`cI
pachvanja,pcvMjw
pagg,p`g
pai,pY
paihanth,pYNhT
painti,pYNqI
pakka,p`kw
pandran,pMdrW
pani,pwxI
panj,pMj
panjah,pMjwh
pankaj,pMkj
pantali,pnqwlI
paramjot,prmjoq
paramveer,prmvIr
parivar,pirvwr
parmeesh,prmIS
parmish,prmIS
parveen,prvIn
pashu,pSU
pasnawala,psnwvwlw
paswal,psvwl
pattar,p`qr
peer,pIr
peo,ipau
phirozpur,iProzpur
pichle,ipCly
pichon,ip`CoN
piro,ipro
pith,ip`T
pooja,pUjw
poonam,pUnm
pradesh,pRdyS
prakash,pRkwS
pranav,pRnv
praneet,pRnIq
prashan,pRSn
prashant,pRSWq
preeti,pRIqI
pritam,ipRqm
puneet,punIq
pushpa,puSpw
puttar,pu~qr
q,ikaU
qadian,kwdIAW
r,Awr
raat,rwq
raat,rwq
rabb,r`b
rachit,ric`q
radd,r`d
raghav,rwGv
rahul,rwhul
rai,rwey
rajesh,rwjyS
rajveer,rwjvIr
rajvir,rwjvIr
rajwinder,rwjivMdr
ramesh,rmyS
randeep,rndIp
randhir,rMDIr
ranian,rwxIAW
ranjit,rMjIq
rasam,rsm
rashpal,rSpwl
raunak,rOnk
rauwal,rwauvwl
ravi,riv
ravinder,rivMdr
reeta,rItw
reha,irhw
rehan,ryhwn
retvala,ryqvwl
rishabh,irSB
rohan,rohn
rohit,roihq
romesh,romyS
ronak,rOnk
ropar,ropV
s,AYs
saahil,swihl
saare,swry
sachin,sicn
sahaipur,shweIpur
sahib,swihb
sahil,swihl
saidowal,sYdovwl
saidpur,sYdpur
sainti,sYNqI
saira,swierw
sal,sl
salook,slUk
samagh,smwG
samardeep,smrdIp
samarpreet,smrpRIq
sameer,smIr
san,sn
sanae,snwey
sandeep,sndIp
sandhu,sMDU
sandhwan,sMDvW
sang,sMg
sanghar,sMGwr
sanjana,sMjnw
sanjay,sMjY
santali,snqwlI
santokh,sMqoK
santosh,sMqoS
sara,swrw
saraaye,srwey
sarkari,srkwrI
sarvesh,srvyS
sarwarpur,srvwrpur
sataasi,sqwsI
satahath,sqwhT
satanve,sq`nvy
satayi,sqweI
sath,s`Q
sathh,s`T
sathiali,siQAwlI
satnam,sqnwm
satpal,sqpwl
satt,s`q
satta,s`tw
sattar,s`qr
satvanja,sqvMjw
satveer,sqvIr
satwinder,sqivMdr
sau,sO
sau,swaU
school,skUl
seeta,sIqw
sehaj,sihj
sehjot,sihjoq
semal,syml
september,sqMbr
shabad,Sbd
shagun,Sgun
shahrukh,Swhr`uK
sham,Swm
shanicharvar,SnIvwr
shankar,SMkr
shanti,SWqI
sharab,Srwb
sharan,Srn
shareef,SrIP
sharif,SrIP
sharma,Srmw
sheetal,SIql
shivam,iSvm
shreya,SRyXw
shukkarvar,Su`krvwr
si,sI
si,sI
siddha,is`Dw
sidhu,is`DU
sikh,is`K
sikhiya,is`iKAw
simran,ismrn
sindhvan,isMDvW
singh,isMG
singh,isMG
singhpura,isMGpurw
singla,isMglw
siraj,iswrj
sita,sIqw
soch,soc
sohal,sohl
solan,solW
somvar,somvwr
sonia,sonIAw
staran,sqwrW
sujanpur,sujwnpur
sukhbir,su`KbIr
sukhdeep,su`KdIp
sukhjinder,su`KijMdr
sukhmeet,su`KmIq
sukhpal,su`Kpwl
sukhwinder,su`KivMdr
sumaira,sumwierw
sunita,sunIqw
supreet,supRIq
surbhi,surBI
swaran,svrn
t,tI
tainu,qYnMU
tajinder,qijMdr
takkana,q`kxw
takkar,t`kr
tanveer,qnvIr
taranjot,qrMjoq
taranve,qr`nvy
tarija,qwirjw
tartali,qrqwlI
tarvanja,qrvMjw
te,qy
teeh,qIh
teeran,qyrW
tehatar,qhyqr
tejinder,qyijMdr
teti,qyqI
teyi,qyeI
thakkana,Q`kxw
thakkar,T`kr
theh,Qyh
tibadi,iqbwfI
tikha,iq`Kw
tin,iqMn
tippni,it`pxI
tirasi,iqrwsI
trehanth,qryNhT
u,XU
udham,auD`m
ujagar,aujwgr
ujjwal,au~jvl
una,aunw
unahath,aunwhT
unanja,aunMjw
unnanve,au`nnvyN
unnasi,aunwsI
unnatar,aun`qr
unnati,aun`qI
unni,au`nI
untali,aunqwlI
upkar,aupkwr
uttar,au~qr
v,vI
vadde,v`fy
vaddhna,v`Dxw
vaddi,v`fI
vahi,vwhI
vail,vYl
vajj,v`j
varun,vrun
vatavaran,vwqwvrn
veena,vInw
veer,vIr
vehdke,vihVky
viakhia,ivAwiKAw
vich,iv`c
vicky,iv`kI
vidya,iv`idAw
vih,vIh
vikas,ivkws
vikram,ivkRm
vimlesh,ivmlyS
vinay,ivnY
vineet,ivnIq
vinod,ivnod
vipin,ivipn
virvar,vIrvwr
vishal,ivSwl
w,fblU
x,Ayks
y,vweI
yakmusht,XkmuSq
yakub,Xwkub
yashpal,XSpwl
yogesh,XogyS
yoginder,XoigMdr
yograj,Xogrwj
yuvraj,Xuvrwj
z,zI
zimevari,izMmyvwrI
zora,zorw
