father,Pwdr
agge,A`gy
piche,ip`Cy
upar,au`pr
niche,in`cy
andar,AMdr
bahar,bwhr
paas,pws
door,dUr
najdeek,njdIk
kareeb,krIb
samne,swhmxy
peeche,pICy
bagal,bgl
saath,swQ
sang,sMg
saanji,sWjI
mitar,im`qr
dost,dosq
saheli,shylI
yaar,Xwr
rafeeq,rPIk
shagird,Swhigrd
ustaad,ausqwd
guru,gurU
shishya,iSSXw
vidyarthi,ividAwrQI
adhyapak,AiDAwpk
sikshak,is`iKAwk
acharya,AcwrIAw
pandit,pMifq
gyanee,igAwnI
buddhi,bu`DI
akal,Akl
samajh,smJ
dimaag,idmwg
dimakh,idmwK
zehan,zyhn
dil,idl
rooh,rUh
aatma,Awqmw
jaan,jwn
zindagi,izMdgI
jeevan,jIvn
hayat,hXwq
umar,aumr
vayas,vwXs
jawani,jvwnI
budhapa,buFwpw
